ac_no,ac_name_2025,ac_name_norm_2025,ac_name_2020,ac_name_norm_2020,similarity_score,is_match
101,Gopalganj,gopalganj,Gopalganj,gopalganj,100.0,True
102,Kuchaikote,kuchaikote,Kuchaikote,kuchaikote,100.0,True
103,Bhore,bhore,Bhore,bhore,100.0,True
104,Hathua,hathua,Hathua,hathua,100.0,True
105,Siwan,siwan,Siwan,siwan,100.0,True
106,Ziradei,ziradei,Ziradei,ziradei,100.0,True
107,Darauli,darauli,Darauli,darauli,100.0,True
108,Raghunathpur,raghunathpur,Raghunathpur,raghunathpur,100.0,True
109,Daraunda,daraunda,Daraunda,daraunda,100.0,True
110,Barharia,barharia,Barharia,barharia,100.0,True
111,Goriakothi,goriakothi,Goriakothi,goriakothi,100.0,True
112,Maharajganj,maharajganj,Maharajganj,maharajganj,100.0,True
113,Ekma,ekma,Ekma,ekma,100.0,True
114,Manjhi,manjhi,Manjhi,manjhi,100.0,True
115,Baniapur,baniapur,Baniapur,baniapur,100.0,True
116,Taraiya,taraiya,Taraiya,taraiya,100.0,True
117,Marhaura,marhaura,Marhaura,marhaura,100.0,True
118,Chapra,chapra,Chapra,chapra,100.0,True
119,Garkha,garkha,Garkha,garkha,100.0,True
120,Amnour,amnour,Amnour,amnour,100.0,True
121,Parsa,parsa,Parsa,parsa,100.0,True
122,Sonpur,sonpur,Sonpur,sonpur,100.0,True
123,Hajipur,hajipur,Hajipur,hajipur,100.0,True
124,Lalganj,lalganj,Lalganj,lalganj,100.0,True
125,Vaishali,vaishali,Vaishali,vaishali,100.0,True
126,Mahua,mahua,Mahua,mahua,100.0,True
127,Raja Pakar,raja pakar,Raja Pakar,raja pakar,100.0,True
128,Raghopur,raghopur,Raghopur,raghopur,100.0,True
129,Mahnar,mahnar,Mahnar,mahnar,100.0,True
130,Patepur,patepur,Patepur,patepur,100.0,True
131,Kalyanpur,kalyanpur,Kalyanpur,kalyanpur,100.0,True
132,Warisnagar,warisnagar,Warisnagar,warisnagar,100.0,True
133,Samastipur,samastipur,Samastipur,samastipur,100.0,True
134,Ujiarpur,ujiarpur,Ujiarpur,ujiarpur,100.0,True
135,Morwa,morwa,Morwa,morwa,100.0,True
136,Sarairanjan,sarairanjan,Sarairanjan,sarairanjan,100.0,True
137,Mohiuddinnagar,mohiuddinnagar,Mohiuddinnagar,mohiuddinnagar,100.0,True
138,Bibhutipur,bibhutipur,Bibhutipur,bibhutipur,100.0,True
139,Rosera,rosera,Rosera,rosera,100.0,True
140,Hasanpur,hasanpur,Hasanpur,hasanpur,100.0,True
141,Cheria-Bariarpur,cheria bariarpur,Cheria-Bariarpur,cheria bariarpur,100.0,True
142,Bachhwara,bachhwara,Bachhwara,bachhwara,100.0,True
143,Teghra,teghra,Teghra,teghra,100.0,True
144,Matihani,matihani,Matihani,matihani,100.0,True
145,Sahebpur Kamal,sahebpur kamal,Sahebpur Kamal,sahebpur kamal,100.0,True
146,Begusarai,begusarai,Begusarai,begusarai,100.0,True
147,Bakhri,bakhri,Bakhri,bakhri,100.0,True
148,Alauli,alauli,Alauli,alauli,100.0,True
149,Khagaria,khagaria,Khagaria,khagaria,100.0,True
150,Beldaur,beldaur,Beldaur,beldaur,100.0,True
151,Parbatta,parbatta,Parbatta,parbatta,100.0,True
152,Bihpur,bihpur,Bihpur,bihpur,100.0,True
153,Gopalpur,gopalpur,Gopalpur,gopalpur,100.0,True
154,Pirpainti,pirpainti,Pirpainti,pirpainti,100.0,True
155,Kahalgaon,kahalgaon,Kahalgaon,kahalgaon,100.0,True
156,Bhagalpur,bhagalpur,Bhagalpur,bhagalpur,100.0,True
157,Sultanganj,sultanganj,Sultanganj,sultanganj,100.0,True
158,Nathnagar,nathnagar,Nathnagar,nathnagar,100.0,True
159,Amarpur,amarpur,Amarpur,amarpur,100.0,True
160,Dhoraiya,dhoraiya,Dhoraiya,dhoraiya,100.0,True
161,Banka,banka,Banka,banka,100.0,True
162,Katoria,katoria,Katoria,katoria,100.0,True
163,Belhar,belhar,Belhar,belhar,100.0,True
164,Tarapur,tarapur,Tarapur,tarapur,100.0,True
165,Munger,munger,Munger,munger,100.0,True
166,Jamalpur,jamalpur,Jamalpur,jamalpur,100.0,True
167,Suryagarha,suryagarha,Suryagarha,suryagarha,100.0,True
168,Lakhisarai,lakhisarai,Lakhisarai,lakhisarai,100.0,True
169,Sheikhpura,sheikhpura,Sheikhpura,sheikhpura,100.0,True
170,Barbigha,barbigha,Barbigha,barbigha,100.0,True
171,Asthawan,asthawan,Asthawan,asthawan,100.0,True
172,Biharsharif,biharsharif,Biharsharif,biharsharif,100.0,True
173,Rajgir,rajgir,Rajgir,rajgir,100.0,True
174,Islampur,islampur,Islampur,islampur,100.0,True
175,Hilsa,hilsa,Hilsa,hilsa,100.0,True
176,Nalanda,nalanda,Nalanda,nalanda,100.0,True
177,Harnaut,harnaut,Harnaut,harnaut,100.0,True
178,Mokama,mokama,Mokama,mokama,100.0,True
179,Barh,barh,Barh,barh,100.0,True
180,Bakhtiarpur,bakhtiarpur,Bakhtiarpur,bakhtiarpur,100.0,True
181,Digha,digha,Digha,digha,100.0,True
182,Bankipur,bankipur,Bankipur,bankipur,100.0,True
183,Kumhrar,kumhrar,Kumhrar,kumhrar,100.0,True
184,Patna Sahib,patna sahib,Patna Sahib,patna sahib,100.0,True
185,Fatuha,fatuha,Fatuha,fatuha,100.0,True
186,Danapur,danapur,Danapur,danapur,100.0,True
187,Maner,maner,Maner,maner,100.0,True
188,Phulwari,phulwari,Phulwari,phulwari,100.0,True
189,Masaurhi,masaurhi,Masaurhi,masaurhi,100.0,True
190,Paliganj,paliganj,Paliganj,paliganj,100.0,True
191,Bikram,bikram,Bikram,bikram,100.0,True
192,Sandesh,sandesh,Sandesh,sandesh,100.0,True
193,Barhara,barhara,Barhara,barhara,100.0,True
194,Arrah,arrah,Arrah,arrah,100.0,True
195,Agiaon,agiaon,Agiaon,agiaon,100.0,True
196,Tarari,tarari,Tarari,tarari,100.0,True
197,Jagdishpur,jagdishpur,Jagdishpur,jagdishpur,100.0,True
198,Shahpur,shahpur,Shahpur,shahpur,100.0,True
199,Brahampur,brahampur,Brahampur,brahampur,100.0,True
200,Buxar,buxar,Buxar,buxar,100.0,True
201,Dumraon,dumraon,Dumraon,dumraon,100.0,True
202,Rajpur,rajpur,Rajpur,rajpur,100.0,True
203,Ramgarh,ramgarh,Ramgarh,ramgarh,100.0,True
204,Mohania,mohania,Mohania,mohania,100.0,True
205,Bhabua,bhabua,Bhabua,bhabua,100.0,True
206,Chainpur,chainpur,Chainpur,chainpur,100.0,True
207,Chenari,chenari,Chenari,chenari,100.0,True
208,Sasaram,sasaram,Sasaram,sasaram,100.0,True
209,Kargahar,kargahar,Kargahar,kargahar,100.0,True
210,Dinara,dinara,Dinara,dinara,100.0,True
211,Nokha,nokha,Nokha,nokha,100.0,True
212,Dehri,dehri,Dehri,dehri,100.0,True
213,Karakat,karakat,Karakat,karakat,100.0,True
214,Arwal,arwal,Arwal,arwal,100.0,True
215,Kurtha,kurtha,Kurtha,kurtha,100.0,True
216,Jehanabad,jehanabad,Jehanabad,jehanabad,100.0,True
217,Ghosi,ghosi,Ghosi,ghosi,100.0,True
218,Makhdumpur,makhdumpur,Makhdumpur,makhdumpur,100.0,True
219,Goh,goh,Goh,goh,100.0,True
220,Obra,obra,Obra,obra,100.0,True
221,Nabinagar,nabinagar,Nabinagar,nabinagar,100.0,True
222,Kutumba,kutumba,Kutumba,kutumba,100.0,True
223,Aurangabad,aurangabad,Aurangabad,aurangabad,100.0,True
224,Rafiganj,rafiganj,Rafiganj,rafiganj,100.0,True
225,Gurua,gurua,Gurua,gurua,100.0,True
226,Sherghati,sherghati,Sherghati,sherghati,100.0,True
227,Imamganj,imamganj,Imamganj,imamganj,100.0,True
228,Barachatti,barachatti,Barachatti,barachatti,100.0,True
229,Bodh Gaya,bodh gaya,Bodh Gaya,bodh gaya,100.0,True
230,Gaya Town,gaya town,Gaya Town,gaya town,100.0,True
231,Tikari,tikari,Tikari,tikari,100.0,True
232,Belaganj,belaganj,Belaganj,belaganj,100.0,True
233,Atri,atri,Atri,atri,100.0,True
234,Wazirganj,wazirganj,Wazirganj,wazirganj,100.0,True
235,Rajauli,rajauli,Rajauli,rajauli,100.0,True
236,Hisua,hisua,Hisua,hisua,100.0,True
237,Nawada,nawada,Nawada,nawada,100.0,True
238,Gobindpur,gobindpur,Gobindpur,gobindpur,100.0,True
239,Warsaliganj,warsaliganj,Warsaliganj,warsaliganj,100.0,True
240,Sikandra,sikandra,Sikandra,sikandra,100.0,True
241,Jamui,jamui,Jamui,jamui,100.0,True
242,Jhajha,jhajha,Jhajha,jhajha,100.0,True
243,Chakai,chakai,Chakai,chakai,100.0,True
